license_number,business_name,dba_name,city,county,weedmaps_url,leafly_url,verified_url,menu_provider
C10-0000295-LIC,21227 Foothill LLC,Garden of Eden,Hayward,Alameda,https://weedmaps.com/dispensaries/garden-of-eden-hayward,https://www.leafly.com/dispensary-info/garden-of-eden,,
C10-0001192-LIC,"Alameda Nug Shop, Inc.",NUG Alameda,Alameda,Alameda,https://weedmaps.com/dispensaries/nug-alameda-alameda,https://www.leafly.com/dispensary-info/nug-alameda,,
C10-0000774-LIC,Alameda Patients Group LLC,Embarc Alameda,Alameda,Alameda,https://weedmaps.com/dispensaries/embarc-alameda-alameda,https://www.leafly.com/dispensary-info/embarc-alameda,,
C10-0001238-LIC,Authentic 510 LLC [Equity Retailer],AUTHENTIC 510 LLC [Equity Retailer],Oakland,Alameda,https://weedmaps.com/dispensaries/authentic-510-equity-retailer-oakland,https://www.leafly.com/dispensary-info/authentic-510-equity-retailer,,
C10-0000033-LIC,"Berkeley Patients Group, Inc.",BPG,Berkeley,Alameda,https://weedmaps.com/dispensaries/bpg-berkeley,https://www.leafly.com/dispensary-info/bpg,,
C10-0000738-LIC,"Bthhm Berkeley, LLC",The Apothecarium,Berkeley,Alameda,https://weedmaps.com/dispensaries/the-apothecarium-berkeley,https://www.leafly.com/dispensary-info/the-apothecarium,,
C10-0001243-LIC,Cabana Concepts LLC,URBANA OAKLAND,Oakland,Alameda,https://weedmaps.com/dispensaries/urbana-oakland-oakland,https://www.leafly.com/dispensary-info/urbana-oakland,,
C10-0001645-LIC,Dswc Ii Inc,"NUG Express, Lil NUG",San Leandro,Alameda,https://weedmaps.com/dispensaries/nug-express-lil-nug-san-leandro,https://www.leafly.com/dispensary-info/nug-express-lil-nug,,
C10-0000479-LIC,"Dswc, Inc.",NUG Wellness,San Leandro,Alameda,https://weedmaps.com/dispensaries/nug-san-leandro,https://www.leafly.com/dispensary-info/nug,,
C10-0001323-LIC,E7 Oakland LLC,E7 OAKLAND LLC,Oakland,Alameda,https://weedmaps.com/dispensaries/e7-oakland-oakland,https://www.leafly.com/dispensary-info/e7-oakland,,
C10-0000789-LIC,East Bay Therapeutics,Ohana Cannabis,Emeryville,Alameda,https://weedmaps.com/dispensaries/ohana-emeryville,https://www.leafly.com/dispensary-info/ohana,,
C10-0000824-LIC,"Flor East Bay, LLC",Flor,Union City,Alameda,https://weedmaps.com/dispensaries/flor-union-city,https://www.leafly.com/dispensary-info/flor,,
C10-0000215-LIC,"Glassrock, Inc.","GLASSROCK, INC.",Oakland,Alameda,https://weedmaps.com/dispensaries/glassrock-oakland,https://www.leafly.com/dispensary-info/glassrock,,
C10-0000743-LIC,"Hayward Station, LLC",Cookies Hayward,Hayward,Alameda,https://weedmaps.com/dispensaries/cookies-hayward-hayward,https://www.leafly.com/dispensary-info/cookies-hayward,,
C10-0001083-LIC,Highlands Dispensary LLC,HIGHLANDS DISPENSARY,Livermore,Alameda,https://weedmaps.com/dispensaries/highlands-livermore,https://www.leafly.com/dispensary-info/highlands,,
C10-0000506-LIC,Icann LLC,Farmacy Berkeley,Berkeley,Alameda,https://weedmaps.com/dispensaries/farmacy-berkeley-berkeley,https://www.leafly.com/dispensary-info/farmacy-berkeley,,
C10-0001108-LIC,Jiva Hwd LLC,JIVA HWD LLC,Hayward,Alameda,https://weedmaps.com/dispensaries/jiva-hwd-hayward,https://www.leafly.com/dispensary-info/jiva-hwd,,
C10-0001001-LIC,Jiva Uc LLC,Lemonnade Union City,Union City,Alameda,https://weedmaps.com/dispensaries/lemonnade-union-city-union-city,https://www.leafly.com/dispensary-info/lemonnade-union-city,,
C10-0000419-LIC,"Kanna, Inc.","KANNA, INC.",Oakland,Alameda,https://weedmaps.com/dispensaries/kanna-oakland,https://www.leafly.com/dispensary-info/kanna,,
C10-0000933-LIC,Lake Merritt Equity LLC [Equity Retailer],Rose Mary Jane [Equity Retailer],Oakland,Alameda,https://weedmaps.com/dispensaries/rose-mary-jane-equity-retailer-oakland,https://www.leafly.com/dispensary-info/rose-mary-jane-equity-retailer,,
C10-0000623-LIC,Main Street Supply,MAIN STREET SUPPLY,Alameda,Alameda,https://weedmaps.com/dispensaries/main-street-supply-alameda,https://www.leafly.com/dispensary-info/main-street-supply,,
C10-0000965-LIC,Oakland Trading Company LLC [Equity Retailer],Oakanna [Equity Retailer],Oakland,Alameda,https://weedmaps.com/dispensaries/oakanna-equity-retailer-oakland,https://www.leafly.com/dispensary-info/oakanna-equity-retailer,,
C10-0000369-LIC,Oaklyfe LLC [Equity Retailer],NUG [Equity Retailer],Oakland,Alameda,https://weedmaps.com/dispensaries/nug-equity-retailer-oakland,https://www.leafly.com/dispensary-info/nug-equity-retailer,,
C10-0001484-LIC,Ohana Growers,Ohana Cannabis,Oakland,Alameda,https://weedmaps.com/dispensaries/ohana-oakland,https://www.leafly.com/dispensary-info/ohana,,
C10-0001079-LIC,Park Social Inc,Park Social,Alameda,Alameda,https://weedmaps.com/dispensaries/park-social-alameda,https://www.leafly.com/dispensary-info/park-social,,
C10-0000798-LIC,Parkway Theater Inc.,Ivy Hill,Oakland,Alameda,https://weedmaps.com/dispensaries/ivy-hill-oakland,https://www.leafly.com/dispensary-info/ivy-hill,,
C10-0000463-LIC,Patients Mutual Assistance Collective Corporation,Harborside,Oakland,Alameda,https://weedmaps.com/dispensaries/harborside-oakland,https://www.leafly.com/dispensary-info/harborside,,
C10-0000681-LIC,San Leandro Wellness Solutions Inc.,Harborside,San Leandro,Alameda,https://weedmaps.com/dispensaries/harborside-san-leandro,https://www.leafly.com/dispensary-info/harborside,,
C10-0000306-LIC,"We Are Hemp, LLC","We Are Hemp, LLC",Hayward,Alameda,https://weedmaps.com/dispensaries/we-are-hemp-hayward,https://www.leafly.com/dispensary-info/we-are-hemp,,
C10-0001382-LIC,"Chico Flagship, LLC",Oregrown,Chico,Butte,https://weedmaps.com/dispensaries/oregrown-chico,https://www.leafly.com/dispensary-info/oregrown,,
C10-0001236-LIC,Responsible And Compliant Retail Chico LLC,EMBARC CHICO,Chico,Butte,https://weedmaps.com/dispensaries/embarc-chico-chico,https://www.leafly.com/dispensary-info/embarc-chico,,
C10-0001203-LIC,"Sweet Flower Chico, LLC",,Chico,Butte,https://weedmaps.com/dispensaries/sweet-flower-chico-chico,https://www.leafly.com/dispensary-info/sweet-flower-chico,,
C10-0000007-LIC,"Blue Mountain Collective, Inc.","BLUE MOUNTAIN COLLECTIVE, INC.",San Andreas,Calaveras,https://weedmaps.com/dispensaries/blue-mountain-san-andreas,https://www.leafly.com/dispensary-info/blue-mountain,,
C10-0000561-LIC,"Calaveras Naturals, Inc.",Calaveras Little Trees,Arnold,Calaveras,https://weedmaps.com/dispensaries/calaveras-little-trees-arnold,https://www.leafly.com/dispensary-info/calaveras-little-trees,,
C10-0000375-LIC,"Green Gold Cultivators, Inc.",Green Gold Cultivators,San Andreas,Calaveras,https://weedmaps.com/dispensaries/green-gold-cultivators-san-andreas,https://www.leafly.com/dispensary-info/green-gold-cultivators,,
C10-0000739-LIC,Pure Aloha,,Douglas Flat,Calaveras,https://weedmaps.com/dispensaries/pure-aloha-douglas-flat,https://www.leafly.com/dispensary-info/pure-aloha,,
C10-0000763-LIC,"7 Stars Holistic Foundation, Inc.",7 Stars Holistic Healing Center,Richmond,Contra Costa,https://weedmaps.com/dispensaries/7-stars-holistic-healing-center-richmond,https://www.leafly.com/dispensary-info/7-stars-holistic-healing-center,,
C10-0001249-LIC,Ant Green LLC,Ant Green LLC,Antioch,Contra Costa,https://weedmaps.com/dispensaries/ant-green-antioch,https://www.leafly.com/dispensary-info/ant-green,,
C10-0001201-LIC,Authentic Concord LLC,TBD,Concord,Contra Costa,https://weedmaps.com/dispensaries/tbd-concord,https://www.leafly.com/dispensary-info/tbd,,
C10-0001085-LIC,Authentic El Cerrito LLC,AUTHENTIC EL CERRITO LLC,El Cerrito,Contra Costa,https://weedmaps.com/dispensaries/authentic-el-cerrito-el-cerrito,https://www.leafly.com/dispensary-info/authentic-el-cerrito,,
C10-0001564-LIC,"Bakery Antioch I, LLC",Flame,Antioch,Contra Costa,https://weedmaps.com/dispensaries/flame-antioch,https://www.leafly.com/dispensary-info/flame,,
C10-0001618-LIC,Catalyst - Antioch LLC,Catalyst - Antioch,Antioch,Contra Costa,https://weedmaps.com/dispensaries/catalyst-antioch-antioch,https://www.leafly.com/dispensary-info/catalyst-antioch,,
C10-0001027-LIC,"Coastal Retail Concord, LLC",Coastal,Concord,Contra Costa,https://weedmaps.com/dispensaries/coastal-concord,https://www.leafly.com/dispensary-info/coastal,,
C10-0001300-LIC,Culture Club Corporate Enterprise,Culture Cannabis Club,Concord,Contra Costa,https://weedmaps.com/dispensaries/culture-club-concord,https://www.leafly.com/dispensary-info/culture-club,,
C10-0000649-LIC,Delta Dispensary Inc,DELTA DISPENSARY INC,Antioch,Contra Costa,https://weedmaps.com/dispensaries/delta-antioch,https://www.leafly.com/dispensary-info/delta,,
C10-0000846-LIC,Ecwc Partners Inc,NUG,El Cerrito,Contra Costa,https://weedmaps.com/dispensaries/nug-el-cerrito,https://www.leafly.com/dispensary-info/nug,,
C10-0000786-LIC,Embarc Martinez LLC,Embarc Martinez,Martinez,Contra Costa,https://weedmaps.com/dispensaries/embarc-martinez-martinez,https://www.leafly.com/dispensary-info/embarc-martinez,,
C10-0000667-LIC,Firefly Health Corporation,Velvet Cannabis,Martinez,Contra Costa,https://weedmaps.com/dispensaries/velvet-martinez,https://www.leafly.com/dispensary-info/velvet,,
C10-0001531-LIC,"Flavors Of Antioch, LLC",Flavors of Antioch,Antioch,Contra Costa,https://weedmaps.com/dispensaries/flavors-of-antioch-antioch,https://www.leafly.com/dispensary-info/flavors-of-antioch,,
C10-0000377-LIC,"Hilltop Community Partners, LLC",Green Remedy,Richmond,Contra Costa,https://weedmaps.com/dispensaries/green-remedy-richmond,https://www.leafly.com/dispensary-info/green-remedy,,
