store_id,product_count,top_brands
1,2,"Curaleaf(2)"
3,20,"Curaleaf(4); 710 Labs(3); Apex(2); STB(2); Mist Brand(1)"
8,20,"Legend(11); Valhalla(3); Kind Tree(3); Effin(2); Merchandise(1)"
9,20,"Kind Tree(7); Legend(6); Valhalla(3); Miss Grass(2); Savvy(1)"
15,20,"The Mighty Quinn(11); Cannadel Merch(3); Proof(2); Kanha(1); PlugPlay(1)"
17,20,"Avexia(3); Kiva(2); Rythm(2); Legend(1); Airo Brands(1)"
25,20,"1906(6); Pax Lab Inc.(6); Accessory(3); Kind Tree Pods(3); Spirit away(1)"
26,20,"Legend(9); Kind Tree(5); Valhalla(2); Miss Grass(2); Merchandise(1)"
27,2,"The Apothecarium(1); Grav(1)"
29,20,"Wana Brands(4); Panacea(4); Caregivers For Life(3); Next 1 Labs(2); Craft(2)"
31,20,"Kiva(5); State Flower(2); Henry's Original(2); Lost Farm(2); The Apothecarium(1)"
32,20,"Kiva(8); Lost Farm(3); Plus Gummies(3); Wyld(3); The Apothecarium(1)"
33,20,"Kiva(9); State Flower(3); Wyld(2); The Apothecarium(1); Tutti(1)"
35,20,"Kiva(8); Plus Gummies(3); Lost Farm(3); The Apothecarium(1); Pure Beauty(1)"
37,20,"Xvapes(8); Wyld (CO)(4); Green Dragon (CO)(3); Green Dragon Accessories(1); Dialed In(1)"
45,20,"Wana Brands(5); Wyld (CO)(3); Joy Bombs(3); BIC(2); Spherex(2)"
48,20,"Wyld (CO)(5); Xvapes(3); Wana Brands(2); Spherex(2); Keef Cola(2)"
51,20,"Froot(3); Camino(3); St. Ides(3); Fleetwood(2); WYLD(2)"
62,20,"Green Dragon (CO)(7); Xvapes(6); The Clear(4); Tical(1); BIC(1)"
63,20,"Green Dragon (CO)(7); Xvapes(4); Spherex(2); Smokiez Edibles(2); Green Dragon Accessories(1)"
64,20,"Xvapes(6); Green Dragon (CO)(4); Smokiez Edibles(3); Captain(2); The Clear(1)"
66,20,"Xvapes(8); Captain(5); Smokiez Edibles(4); Wyld (CO)(1); Green Dragon (CO)(1)"
67,20,"Xvapes(7); Green Dragon (CO)(5); Smokiez Edibles(2); BIC(2); Spherex(2)"
68,20,"Green Dragon (CO)(6); Xvapes(5); Cherry(2); Joy Bombs(2); Dialed In(2)"
69,20,"Green Dragon (CO)(7); Xvapes(5); The Clear(3); Green Dragon Accessories(1); Spherex(1)"
70,20,"Green Dragon (CO)(10); Xvapes(4); BIC(2); Smokiez Edibles(2); The Clear(1)"
71,20,"Green Dragon (CO)(7); Xvapes(4); Spherex(2); Wyld (CO)(1); Green Dot Labs(1)"
72,20,"Xvapes(5); The Clear(3); BIC(2); Clipper(2); Dialed In(2)"
73,20,"Fleetwood(3); Sparkiez(2); Alien Labs(2); Cannabiotix(2); Kanha(2)"
84,4,"Essence(2); Rythm(2)"
85,20,"Verano(4); Essence(4); King Tree(3); High Supply(3); Incredibles(2)"
86,20,"Verano(9); Curaleaf(2); Essence(2); King Tree(2); High Supply(2)"
87,20,"Verano(5); Essence(3); Curaleaf(3); King Tree(2); Rythm(2)"
91,1,"T-shirt Brand(1)"
93,20,"Xvapes(8); Captain(5); Smokiez Edibles(3); Green Dragon (CO)(3); Green Dragon Accessories(1)"
103,20,"Edie Parker(2); Blazy Susan(2); AK Wholesale(2); Green Alpacka(2); Special Blue(1)"
104,20,"Anthem(3); Select(3); Dogwalkers(2); Wyld(2); Kiva(2)"
111,18,"Lookah(4); RAW(3); PackWrap(3); Blazy Susan(2); STIIIZY(2)"
112,20,"BIC(3); Seed & Strain (3); Wyld(3); Amber(2); Triple Seven(2)"
134,20,"Circles (8); Green Dragon(5); Old Pal(4); Fuel(2); Le Remedie(1)"
